Country,ResellerID,Trans12Mo,Units12Mo
Central Region LATAM,14284360,5,6
Central Region LATAM,15927624,1,6
Central Region LATAM,60391717,1,6
Central Region LATAM,59883106,3,6
Central Region LATAM,47732092,1,6
Central Region LATAM,57519761,2,6
Central Region LATAM,56028019,2,6
Central Region LATAM,39549301,1,6
Central Region LATAM,59893949,1,6
Central Region LATAM,56487614,1,6
Central Region LATAM,56676818,1,6
Central Region LATAM,35314043,2,6
Central Region LATAM,17485568,1,6
Central Region LATAM,18247265,1,6
Central Region LATAM,13134016,3,6
Chile,56530782,2,6
Chile,31382957,3,6
Chile,2718702,3,6
Chile,16736830,1,6
Chile,42469896,2,6
Chile,18177444,4,6
Chile,16521339,5,6
Chile,13444928,3,6
Chile,13228391,2,6
Chile,8544441,4,6
Chile,51385558,3,6
